dw_measure_name,source_column,target_table,datatype,nullable,stored_or_calculated,semantic_meaning,default_aggregation,additivity,additive_across_date,additive_across_company,additive_across_location,measured_basis,caveats
UrgencyScore,urgency_score,FactInternshipPosting,TINYINT,NO,Stored (source value preserved verbatim),Bounded 0-100 score for urgency language in the posting,AVG (MIN / MAX also offered),Non-additive,NO,NO,NO,"0 to 100, 101 distinct values, mean 40.047191, 0% missing","Bounded 0-100 score; adding two scores can exceed the scale maximum, so SUM has no business meaning and must not be offered as a default. The scoring rule is undocumented, so even AVG assumes comparability across rows."
KeywordSpamScore,keyword_spam_score,FactInternshipPosting,TINYINT,NO,Stored (source value preserved verbatim),Bounded 0-100 score for keyword spamming in the posting,AVG (MIN / MAX also offered),Non-additive,NO,NO,NO,"0 to 100, 101 distinct values, mean 25.573860, 0% missing","Bounded 0-100 score; adding two scores can exceed the scale maximum, so SUM has no business meaning and must not be offered as a default. The scoring rule is undocumented, so even AVG assumes comparability across rows."
EmotionalManipulationScore,emotional_manipulation_score,FactInternshipPosting,TINYINT,NO,Stored (source value preserved verbatim),Bounded 0-100 score for emotionally manipulative language,AVG (MIN / MAX also offered),Non-additive,NO,NO,NO,"0 to 100, 101 distinct values, mean 25.563839, 0% missing","Bounded 0-100 score; adding two scores can exceed the scale maximum, so SUM has no business meaning and must not be offered as a default. The scoring rule is undocumented, so even AVG assumes comparability across rows."
PhishingLanguageScore,phishing_language_score,FactInternshipPosting,TINYINT,NO,Stored (source value preserved verbatim),Bounded 0-100 score for phishing-style language,AVG (MIN / MAX also offered),Non-additive,NO,NO,NO,"0 to 100, 100 distinct values, mean 20.749288, 0% missing","Bounded 0-100 score; adding two scores can exceed the scale maximum, so SUM has no business meaning and must not be offered as a default. The scoring rule is undocumented, so even AVG assumes comparability across rows."
TrustSignalScore,trust_signal_score,FactInternshipPosting,"DECIMAL(4,1)",YES,Stored (value preserved; NULL preserved as NULL),Bounded 0-100 composite trust score for the posting,AVG (MIN / MAX also offered),Non-additive,NO,NO,NO,"0.0 to 100.0, 1,001 distinct values, mean 56.555847, 10,000 rows (1.0%) missing","Bounded 0-100 score; adding two scores can exceed the scale maximum, so SUM has no business meaning and must not be offered as a default. The scoring rule is undocumented, so even AVG assumes comparability across rows. A prior audit established it is NOT reproducible from the four trust flags, so it cannot be recomputed if dropped. AVG must exclude NULLs rather than treat them as 0"
FraudScore,fraud_score,FactInternshipPosting,"DECIMAL(4,1)",NO,Stored (source value preserved verbatim),Bounded 0-100 composite fraud score for the posting,AVG (MIN / MAX also offered),Non-additive,NO,NO,NO,"0.0 to 100.0, 1,001 distinct values, mean 34.012257, 0% missing","Bounded 0-100 score; adding two scores can exceed the scale maximum, so SUM has no business meaning and must not be offered as a default. The scoring rule is undocumented, so even AVG assumes comparability across rows. It is close to, but NOT deterministic of, is_fake_posting; the two must never be treated as interchangeable"
RecruiterExperienceYears,recruiter_experience_years,FactInternshipPosting,"DECIMAL(3,1)",NO,Stored (source value preserved verbatim),Years of recruiter experience as stated on this posting record,AVG (MIN / MAX also defensible),Non-additive,NO,NO,NO,"Range 0.0 to 19.6, 183 distinct values, mean 5.052660, 0% missing","A level attached to a person, not a flow. There is NO recruiter identifier anywhere in the source, so summing counts the same recruiter an unknown number of times"
RecruiterResponseTimeHours,recruiter_response_time_hours,FactInternshipPosting,"DECIMAL(3,1)",NO,Stored (source value preserved verbatim),Recruiter response time in hours for this posting record,AVG (MIN / MAX also defensible),Non-additive,NO,NO,NO,"Range 1.0 to 63.9 hours, 595 distinct values, mean 18.180468, 0% missing","A duration per posting: averages are meaningful, totals are not. No recruiter identifier exists to attribute it to a person"
FakeCertificateOffer,fake_certificate_offer,FactInternshipPosting,TINYINT,NO,Stored (source 0/1 preserved verbatim),"1 if the posting offers a fake certificate, else 0",SUM (a count of flagged records); AVG gives the incidence rate,Additive,YES,YES,YES,"Binary 0/1; 79,830 rows carry 1 (7.9830%)","Additive only in the narrow sense that summing the flag counts the records where it is set. Held as a fact measure rather than a dimension attribute because it describes what THIS posting offers, and grouping it with is_fake_posting would put a predictor next to the outcome"
PaymentRequired,payment_required,FactInternshipPosting,TINYINT,NO,"Stored (source 0/1 copied verbatim - Option A, recommended)","1 if the posting requires an up-front payment, else 0",SUM (a count of flagged records); AVG gives the incidence rate,Additive,YES,YES,YES,"Binary 0/1; 99,905 rows carry 1 (9.9905%). The invariant payment_required == (registration_fee > 0) holds on 1,000,000 of 1,000,000 rows with 0 disagreements","Fully redundant with RegistrationFee > 0 ON THIS EXTRACT. Stored anyway for source fidelity (Option A); see the Payment Redundancy section for Option B and the trade-off. ETL must COPY the source value, never recompute it, and assert the invariant as a load-time data-quality check so a future divergence is detected rather than hidden"
