staging_column,disposition,target_table,target_column,target_datatype,nullable,transformation_rule,reason
verification_status,Direct (mini-dimension attribute),DimCompanyProfile,VerificationStatus,TINYINT,NO,"Copy verbatim from staging. No cleaning, casting of value, imputation or re-scaling. 0/1 retained as 0/1. Part of the 5-attribute profile combination key.","39.6616% stable within repeated company_name: a posting-time observation, not a company state."
stipend,"Direct (fact measure, SEMANTICALLY UNRESOLVED)",FactInternshipPosting,Stipend,INT,YES,"Copy verbatim from staging. No cleaning, casting of value, imputation or re-scaling. NULL preserved as NULL. NO currency conversion, NO annualisation, NO normalisation of any kind.","Stored so the value is not lost, but currency and pay period are undocumented across nine cities. Excluded from the default OLAP measure set until the semantics are resolved."
unrealistic_salary_flag,EXCLUDED from Star Schema v1,(none),(none),(n/a),(n/a),Not loaded into the dimensional model. Remains present and unmodified in data/raw/ and data/staging/.,"Constant 0 across all 1,000,000 rows (1 distinct value, sum 0). Zero analytical variance: it cannot slice, and any aggregate of it is 0 by construction. This is an ANALYTICAL-SCHEMA EXCLUSION, not a source-data deletion; a future extract with variance can be admitted without redesign."
payment_required,"Direct (fact measure) - Option A, recommended",FactInternshipPosting,PaymentRequired,TINYINT,NO,COPY the source 0/1 verbatim. Do NOT recompute from registration_fee. ETL asserts payment_required == (registration_fee > 0) as a data-quality check and raises on any disagreement.,"Redundant with RegistrationFee > 0 on all 1,000,000 rows, but redundancy measured on one extract is not a guarantee. Storing it preserves source lineage and makes the fact self-describing; see the Payment Redundancy section for Option B."
registration_fee,"Direct (fact measure, currency unresolved)",FactInternshipPosting,RegistrationFee,INT,NO,"Copy verbatim from staging. No cleaning, casting of value, imputation or re-scaling. 0 is a real value (no fee) and is NOT treated as missing. NO currency conversion.","A genuine quantity, but the currency is undocumented, so cross-location monetary aggregation remains unresolved. Exposed only as a labelled source numeric value."
job_description_length,Direct (fact measure),FactInternshipPosting,JobDescriptionLength,SMALLINT,NO,"Copy verbatim from staging. No cleaning, casting of value, imputation or re-scaling.","A character count per posting; additive, though AVG is the more useful default."
grammatical_errors,Direct (fact measure),FactInternshipPosting,GrammaticalErrors,TINYINT,NO,"Copy verbatim from staging. No cleaning, casting of value, imputation or re-scaling. NOT banded into a dimension attribute.","A count of occurrences (0-14), so totals are meaningful. Banding it would discard resolution for no measured benefit."
vague_description_score,Direct (fact measure),FactInternshipPosting,VagueDescriptionScore,TINYINT,NO,"Copy verbatim from staging. No cleaning, casting of value, imputation or re-scaling.","Bounded 0-100 score recorded per posting; non-additive, default AVG."
urgency_score,Direct (fact measure),FactInternshipPosting,UrgencyScore,TINYINT,NO,"Copy verbatim from staging. No cleaning, casting of value, imputation or re-scaling.","Bounded 0-100 score recorded per posting; non-additive, default AVG."
keyword_spam_score,Direct (fact measure),FactInternshipPosting,KeywordSpamScore,TINYINT,NO,"Copy verbatim from staging. No cleaning, casting of value, imputation or re-scaling.","Bounded 0-100 score recorded per posting; non-additive, default AVG."
fake_certificate_offer,Direct (fact measure),FactInternshipPosting,FakeCertificateOffer,TINYINT,NO,"Copy verbatim from staging. No cleaning, casting of value, imputation or re-scaling. 0/1 retained as 0/1.","Describes what this posting offers. Held as a measure, not a junk-dimension attribute, to keep predictors out of the same structure as the outcome."
recruiter_experience_years,Direct (fact measure),FactInternshipPosting,RecruiterExperienceYears,"DECIMAL(3,1)",NO,"Copy verbatim from staging. No cleaning, casting of value, imputation or re-scaling.","No recruiter identifier exists in the source, so it cannot be attached to a recruiter entity and stays at posting grain. Non-additive."
recruiter_email_type,Direct (dimension attribute),DimRecruiterEmail,RecruiterEmailType,VARCHAR(16),NO,"Copy verbatim from staging. No cleaning, casting of value, imputation or re-scaling. Combined with suspicious_email_domain into the 2-row dimension; the fact carries RecruiterEmailKey.",A 2-value label. Held together with suspicious_email_domain in ONE dimension because the two are in exact bijection.
suspicious_email_domain,Direct (dimension attribute),DimRecruiterEmail,SuspiciousEmailDomain,TINYINT,NO,"Copy verbatim from staging. No cleaning, casting of value, imputation or re-scaling. 0/1 retained as 0/1. Part of the same dimension row as RecruiterEmailType.","Bijective with recruiter_email_type (Corporate<->0, Free<->1; 0 violations, Cramer's V 1.000000). Keeping both in one dimension preserves source semantics without creating two join paths to the same information."
recruiter_response_time_hours,Direct (fact measure),FactInternshipPosting,RecruiterResponseTimeHours,"DECIMAL(3,1)",NO,"Copy verbatim from staging. No cleaning, casting of value, imputation or re-scaling.",A per-posting duration with no recruiter entity to attach it to. Non-additive; AVG / MIN / MAX only.
social_media_presence,Direct (mini-dimension attribute),DimCompanyProfile,SocialMediaPresence,TINYINT,NO,"Copy verbatim from staging. No cleaning, casting of value, imputation or re-scaling. 0/1 retained as 0/1. Part of the 5-attribute profile combination key.","44.7237% stable within repeated company_name: a posting-time observation, not a company state."
emotional_manipulation_score,Direct (fact measure),FactInternshipPosting,EmotionalManipulationScore,TINYINT,NO,"Copy verbatim from staging. No cleaning, casting of value, imputation or re-scaling.","Bounded 0-100 score recorded per posting; non-additive, default AVG."
phishing_language_score,Direct (fact measure),FactInternshipPosting,PhishingLanguageScore,TINYINT,NO,"Copy verbatim from staging. No cleaning, casting of value, imputation or re-scaling.","Bounded 0-100 score recorded per posting; non-additive, default AVG."
trust_signal_score,Direct (fact measure),FactInternshipPosting,TrustSignalScore,"DECIMAL(4,1)",YES,"Copy verbatim from staging. No cleaning, casting of value, imputation or re-scaling. NULL preserved as NULL; AVG must exclude NULLs rather than treat them as 0.","Bounded composite score, not reproducible from the four trust flags, so it cannot be recomputed if dropped. Non-additive."
fraud_score,Direct (fact measure),FactInternshipPosting,FraudScore,"DECIMAL(4,1)",NO,"Copy verbatim from staging. No cleaning, casting of value, imputation or re-scaling.","Bounded composite score. Non-additive, and NOT deterministic of is_fake_posting, so the two are kept as separate measures."
is_fake_posting,Direct (fact measure - the analytical outcome),FactInternshipPosting,FakePostingCount,TINYINT,NO,Copy the source 0/1 verbatim under the DW name FakePostingCount. Values stay 0/1; no re-encoding.,The labelled outcome the warehouse exists to analyse. Summing it counts labelled-fake records; it is deliberately NOT placed in any dimension.
source_row_id,Direct (lineage attribute),FactInternshipPosting,SourceRowID,INT,NO,Copy verbatim. Indexed for traceability. NOT the primary key of the fact table.,"Staging-derived lineage handle (1..1,000,000, contiguous and distinct) that lets any fact row be traced back to its staging line. It identifies a SOURCE RECORD, not a real-world posting, so it is retained as lineage rather than promoted to a business key."
is_future_posting,Direct (data-quality flag),FactInternshipPosting,IsFuturePosting,TINYINT,NO,Copy the staging 0/1 verbatim. Do NOT recompute against a moving 'today'; the flag is fixed against the 2026-09-23 reference date.,"Lets analysts filter or isolate the 30,246 records (3.0246%) dated after the reference date without deleting them. A data-quality marker, not a business measure."
