field,group,provisional_class,distinct_values,missing_pct,pct_stable_within_company_name,max_distinct_one_company_name,is_binary_0_1,is_constant,evidence_en,evidence_vi
is_future_posting,other,candidate flag,2,0.0,85.46117036249335,2,True,False,Staging-derived data-quality marker against a fixed reference date; not a business attribute.,Cờ đánh dấu chất lượng dữ liệu sinh ở staging so với một ngày tham chiếu cố định; không phải thuộc tính nghiệp vụ.
job_description_length,content_quality,candidate measure,3946,0.0,0.0297125699809214,956,False,False,"Numeric, wide range, varies row by row inside the same company_name; nothing about it is a label to slice by.","Dạng số, biên độ rộng, thay đổi theo từng dòng trong cùng một company_name; không có tính chất nhãn để cắt lát."
keyword_spam_score,content_quality,candidate measure,101,0.0,1.3683420385950646,85,False,False,Bounded 0-100 score recorded per posting; the construction rule is undocumented.,Điểm số giới hạn 0-100 ghi nhận theo từng tin đăng; quy tắc tính không được tài liệu hóa.
linkedin_presence,trust_company,candidate flag,2,0.0,50.75063334688644,2,True,False,"Binary 0/1. Reads as a company property, but it is not stable across rows sharing a company_name, so it cannot be attached to a company entity on this evidence.","Nhị phân 0/1. Về ngữ nghĩa giống thuộc tính công ty, nhưng không ổn định giữa các dòng cùng company_name, nên không thể gắn vào một thực thể công ty với bằng chứng hiện có."
location,other,candidate dimension attribute,9,0.0,6.14111906921465,9,False,False,"Nine-valued label, complete and near-uniform. What it locates - work, company or recruiter - is not established by the source.","Nhãn chín giá trị, đầy đủ và gần như đều. Nó định vị cái gì - nơi làm việc, công ty hay nhà tuyển dụng - không được nguồn xác lập."
payment_required,fraud_outcome,candidate flag,2,0.0,67.13946142057361,2,True,False,"Binary 0/1, and exactly reproducible from registration_fee > 0. Storing it is a redundancy question, not an information question.","Nhị phân 0/1, và tái tạo chính xác được từ registration_fee > 0. Việc lưu nó là câu hỏi về dư thừa, không phải câu hỏi về thông tin."
phishing_language_score,content_quality,candidate measure,100,0.0,1.9782316329402934,75,False,False,Bounded 0-100 score recorded per posting; the construction rule is undocumented.,Điểm số giới hạn 0-100 ghi nhận theo từng tin đăng; quy tắc tính không được tài liệu hóa.
recruiter_email_type,other,candidate dimension attribute,2,0.0,44.51255747036562,2,False,False,Two-valued label; carries the same information as suspicious_email_domain.,Nhãn hai giá trị; mang cùng thông tin với suspicious_email_domain.
recruiter_experience_years,other,candidate measure,183,0.0,0.6396021643261501,133,False,False,"Numeric level recorded per posting. There is no recruiter identifier, so it cannot be attached to a recruiter entity.",Mức số ghi nhận theo từng tin đăng. Không có định danh nhà tuyển dụng nên không thể gắn vào một thực thể recruiter.
recruiter_response_time_hours,other,candidate measure,595,0.0,0.26115785193757235,359,False,False,Numeric duration recorded per posting; same absence of a recruiter identifier.,Khoảng thời gian dạng số ghi nhận theo từng tin đăng; cũng thiếu định danh nhà tuyển dụng.
registration_fee,fraud_outcome,candidate measure,4951,0.0,66.61714571669846,130,False,False,"Numeric and genuinely a quantity; 0 is meaningful (no fee), not a placeholder. Currency is undocumented.","Dạng số và thực sự là một đại lượng; giá trị 0 có nghĩa (không thu phí), không phải giá trị thay thế. Đơn vị tiền tệ không được tài liệu hóa."
social_media_presence,trust_company,candidate flag,2,0.0,44.72367309917743,2,True,False,Binary 0/1. Same situation as linkedin_presence.,Nhị phân 0/1. Tình huống giống linkedin_presence.
stipend,other,unresolved,73830,1.0,1.0571419635317298,1217,False,False,"Numeric, but currency and pay period are undocumented, so it cannot yet be called a measure of anything specific.","Dạng số, nhưng đơn vị tiền tệ và kỳ trả không được tài liệu hóa, nên chưa thể gọi nó là measure của một đại lượng cụ thể nào."
suspicious_email_domain,fraud_outcome,candidate flag,2,0.0,44.51255747036562,2,True,False,"Binary 0/1, in perfect bijection with recruiter_email_type; the pair carries one attribute's worth of information.","Nhị phân 0/1, song ánh hoàn hảo với recruiter_email_type; cặp này chỉ mang lượng thông tin của một thuộc tính."
trust_signal_score,trust_company,candidate measure,1001,1.0,1.05557814405905,563,False,False,"Bounded composite score, 1% missing, established by the earlier audit as NOT deterministic from the four trust flags.","Điểm tổng hợp có giới hạn, thiếu 1%, audit trước đã xác lập rằng nó KHÔNG được suy ra tất định từ bốn cờ trust."
unrealistic_salary_flag,fraud_outcome,degenerate attribute,1,0.0,100.0,1,True,True,Constant across all rows. A single-valued attribute produces a one-member dimension and cannot slice anything; it is kept in staging and its warehouse treatment is deferred.,Hằng số trên toàn bộ các dòng. Một thuộc tính chỉ có một giá trị tạo ra dimension một phần tử và không cắt lát được gì; nó vẫn được giữ trong staging và cách xử lý trong warehouse được hoãn lại.
urgency_score,content_quality,candidate measure,101,0.0,0.7381227911049948,101,False,False,Bounded 0-100 score recorded per posting; the construction rule is undocumented.,Điểm số giới hạn 0-100 ghi nhận theo từng tin đăng; quy tắc tính không được tài liệu hóa.
vague_description_score,content_quality,candidate measure,101,0.0,1.0571419635317298,87,False,False,Bounded 0-100 score recorded per posting; the construction rule is undocumented.,Điểm số giới hạn 0-100 ghi nhận theo từng tin đăng; quy tắc tính không được tài liệu hóa.
verification_status,trust_company,candidate flag,2,0.0,39.661589466112034,2,True,False,Binary 0/1. Same situation as linkedin_presence.,Nhị phân 0/1. Tình huống giống linkedin_presence.
website_available,trust_company,candidate flag,2,0.0,57.77218277921997,2,True,False,Binary 0/1. Same situation as linkedin_presence.,Nhị phân 0/1. Tình huống giống linkedin_presence.
work_mode,other,candidate dimension attribute,3,0.0,25.527789072029524,3,False,False,Three-valued label describing where the work happens.,Nhãn ba giá trị mô tả nơi thực hiện công việc.
